A9S,12-13,32,298,9.31,11-12,34,273,8.03,Total,10.1
B89,12-13,0,0,0,11-12,0,0,0,Total,0
H08,12-13,0,0,0,11-12,0,0,0,Total,0
A3V,12-13,0,0,0,11-12,0,0,0,Total,0
B0R,12-13,33,372,11.27,11-12,14,170,12.14,Total,9.8
217,12-13,0,0,0,11-12,0,0,0,Total,0
H12,12-13,0,0,0,11-12,0,0,0,Total,0
H40,12-13,0,0,0,11-12,0,0,0,Total,0
H35,12-13,0,0,0,11-12,0,0,0,Total,0
BCX,12-13,0,0,0,11-12,0,0,0,Total,0
H14,12-13,0,0,0,11-12,0,0,0,Total,0
227,12-13,0,0,0,11-12,0,0,0,Total,0
258,12-13,0,0,0,11-12,0,0,0,Total,0
B98,12-13,0,0,0,11-12,0,0,0,Total,0
H06,12-13,0,0,0,11-12,0,0,0,Total,0
215,12-13,0,0,0,11-12,0,0,0,Total,0
219,12-13,0,0,0,11-12,0,0,0,Total,0
720,12-13,34,267,7.85,11-12,4,16,4.0,Total,7.4
BE1,12-13,34,285,8.38,11-12,34,385,11.32,Total,10.5
B3A,12-13,34,332,9.76,11-12,31,313,10.1,Total,7.7
H44,12-13,0,0,0,11-12,0,0,0,Total,0
10C,12-13,0,0,0,11-12,0,0,0,Total,0
B00,12-13,0,0,0,11-12,0,0,0,Total,0
Y3B,12-13,22,68,3.09,11-12,33,482,14.61,Total,9.8
H28,12-13,0,0,0,11-12,0,0,0,Total,0
266,12-13,0,0,0,11-12,0,0,0,Total,0
BB8,12-13,30,195,6.5,11-12,32,173,5.41,Total,4.8
BHY,12-13,26,199,7.65,11-12,30,274,9.13,Total,7.6
H46,12-13,0,0,0,11-12,0,0,0,Total,0
167,12-13,0,0,0,11-12,0,0,0,Total,0
B3M,12-13,30,212,7.07,11-12,33,146,4.42,Total,11.5
748,12-13,32,79,2.47,11-12,17,68,4.0,Total,4.3
H46,12-13,0,0,0,11-12,0,0,0,Total,0
246,12-13,0,0,0,11-12,0,0,0,Total,0
AXI,12-13,32,191,5.97,11-12,34,165,4.85,Total,7.4
Y7O,12-13,31,152,4.9,11-12,30,110,3.67,Total,4.3
